"event","experiment time","system time","system time text"
"START",0.000000000E0,1733432897.937,"2024-12-05 16:08:17.937 UTC-05:00"
"PAUSE",4.554112800E1,1733432943.478,"2024-12-05 16:09:03.478 UTC-05:00"
