"event","experiment time","system time","system time text"
"START",0.000000000E0,1733431655.119,"2024-12-05 15:47:35.119 UTC-05:00"
"PAUSE",4.881900811E1,1733431703.938,"2024-12-05 15:48:23.938 UTC-05:00"
