"event","experiment time","system time","system time text"
"START",0.000000000E0,1733431453.312,"2024-12-05 15:44:13.312 UTC-05:00"
"PAUSE",4.649377378E1,1733431499.805,"2024-12-05 15:44:59.805 UTC-05:00"
