"event","experiment time","system time","system time text"
"START",0.000000000E0,1733432987.629,"2024-12-05 16:09:47.629 UTC-05:00"
"PAUSE",4.396003884E1,1733433031.589,"2024-12-05 16:10:31.589 UTC-05:00"
