"event","experiment time","system time","system time text"
"START",0.000000000E0,1733432193.959,"2024-12-05 15:56:33.959 UTC-05:00"
"PAUSE",4.843385399E1,1733432242.393,"2024-12-05 15:57:22.393 UTC-05:00"
