"event","experiment time","system time","system time text"
"START",0.000000000E0,1733431970.091,"2024-12-05 15:52:50.091 UTC-05:00"
"PAUSE",5.435102284E1,1733432024.442,"2024-12-05 15:53:44.442 UTC-05:00"
