"event","experiment time","system time","system time text"
"START",0.000000000E0,1733433501.332,"2024-12-05 16:18:21.332 UTC-05:00"
"PAUSE",4.447113259E1,1733433545.803,"2024-12-05 16:19:05.803 UTC-05:00"
