"event","experiment time","system time","system time text"
"START",0.000000000E0,1733432572.615,"2024-12-05 16:02:52.615 UTC-05:00"
"PAUSE",5.055899477E1,1733432623.174,"2024-12-05 16:03:43.174 UTC-05:00"
