"event","experiment time","system time","system time text"
"START",0.000000000E0,1733432793.974,"2024-12-05 16:06:33.974 UTC-05:00"
"PAUSE",5.127964576E1,1733432845.254,"2024-12-05 16:07:25.254 UTC-05:00"
