"event","experiment time","system time","system time text"
"START",0.000000000E0,1733432079.616,"2024-12-05 15:54:39.616 UTC-05:00"
"PAUSE",5.005966982E1,1733432129.676,"2024-12-05 15:55:29.676 UTC-05:00"
