"event","experiment time","system time","system time text"
"START",0.000000000E0,1733433601.218,"2024-12-05 16:20:01.218 UTC-05:00"
"PAUSE",4.451069212E1,1733433645.729,"2024-12-05 16:20:45.729 UTC-05:00"
