"event","experiment time","system time","system time text"
"START",0.000000000E0,1733431859.670,"2024-12-05 15:50:59.670 UTC-05:00"
"PAUSE",4.990153175E1,1733431909.572,"2024-12-05 15:51:49.572 UTC-05:00"
